SEMANA,Fecha,Turno,TAC,Op. Envasado,Código,Formato,%Proteína,Categoría,Lote,FP,FV,AGREGADO,LINEA,ESTADO ,NUMERO DE VERSION,LEGIBILIDAD,Observaciones ,Accion Inmediata 
 ,,,,,,,,,,, ,,E2,CONFORME ,,CONFORME,,
1,1/01/26,I,CSIVINCHAV,YURY,7530432,0.8,35,CLA,PE260101A0,1/01/26,12/27/2026,EXT,E3,CONFORME ,V5,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
1,1/02/26,I,CSIVINCHAV,YURY,7530432,0.8,35,CLA,PE260102A0,1/02/26,12/28/2026,EXT,E3,CONFORME ,V5,CONFORME,,
1,1/02/26,I,CSIVINCHAV,YURY,7530498,0.8,40,KAT PC,PE260102B0,1/02/26,12/28/2026,-,E3,CONFORME ,V4,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
1,1/02/26,II,DAGUIRREG,MIGUEL LEYTON,7530432,0.8,35,CLA,PE260102A0,1/02/26,12/28/2026,EXT,E3,CONFORME ,V5,CONFORME,,
1,1/02/26,II,DAGUIRREG,MIGUEL LEYTON,7530904,0.8,40,KAT DEF,PE260102B0,1/02/26,12/28/2026,-,E3,CONFORME ,V1,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
1,1/03/26,I,CSIVINCHAV,YURY,7530432,0.8,35,CLA,PE260103A0,1/03/26,12/29/2026,EXT,E3,CONFORME ,V5,CONFORME,,
1,1/03/26,I,CSIVINCHAV,YURY,7530904,0.8,40,KAT DEF,PE260103B0,1/03/26,12/29/2026,-,E3,CONFORME ,V1,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
1,1/03/26,II,OVASQUEZC,Kempes C,7530432,0.8,35,CLA,PE260103A0,1/03/26,12/29/2026,EXT,E3,CONFORME ,V5,CONFORME,,
1,1/03/26,II,OVASQUEZC,Kempes C,7530904,0.8,40,KAT DEF,PE260103B0,1/03/26,12/29/2026,-,E3,CONFORME ,V1,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
1,1/04/26,I,JALVARADOS,MIGUEL LEYTON,7530432,0.8,35,CLA,PE260104A0,1/04/26,12/30/2026,EXT,E3,CONFORME ,V5,CONFORME,,
1,1/04/26,I,JALVARADOS,MIGUEL LEYTON,7530904,0.8,40,KAT DEF,PE260104B0,1/04/26,12/30/2026,-,E3,CONFORME ,V1,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,#REF!,#REF!,#REF!,,#REF!,,,,#REF!,#REF!, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,CONFORME,,
1,1/04/26,II,OVASQUEZC,Kempes C,7549044,0.8,35,CLA,PE260104A0,1/04/26,12/30/2026,EXT,E3,CONFORME ,V4,CONFORME,,
1,1/04/26,II,OVASQUEZC,Kempes C,7530904,0.8,40,KAT DEF,PE260104B0,1/04/26,12/30/2026,-,E3,CONFORME ,V1,CONFORME,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,,,
 ,,,,FALSE,,,,,,, ,,E3,CONFORME ,,,,
 ,,,,FALSE,,,,,,, ,,E75,CONFORME ,,,,
 ,,,,FALSE,,,,,,, ,,E76,CONFORME ,,,,