IdRegistro,IdMotivo_Causa,IdDecision,ObservacionPulmon
REG-0012001,,,Proteina alta 39.20 / Flotabilidad 0.01 / Densidad 1.25 /  Conformidad Long 27.55
REG-0012002,,,
REG-0012003,,,
REG-0012004,161.0,,Proteina alta 39.84 / Reflote 0.038 / Flotabilidad 0.04 / Densidad 1.28 /  Conformidad Long 21.40
REG-0012005,,,Flotabilidad 0.13 / Reflote 0.127 / Densidad 1.25 /  Conformidad Long 35.55 / Conformidad diametro 72.21
REG-0012006,,,
REG-0012007,,,
REG-0012008,,,
REG-0012009,,,
REG-0012010,,,
REG-0012011,,,
REG-0012012,,,
REG-0012013,161.0,,Flotabilidad 0.02  / Densidad 1.28 /  Conformidad Long 29.75 / Particulas por gramo 1514
REG-0012014,161.0,,Flotabilidad 0.05  / Densidad 1.25 /  Conformidad Long 48.88  / Particulas por gramo 1435
REG-0012015,,,
REG-0012016,,,
REG-0012017,,,
REG-0012018,,,
REG-0012019,,,
REG-0012020,,,
REG-0012021,,,
REG-0012022,,,
REG-0012023,,,
REG-0012024,161.0,,Flotabilidad 0.02  / Densidad 1.26 /  Conformidad Long 25.04  / Particulas por gramo 1522 / Proteina alta 37.89
REG-0012025,161.0,,Flotabilidad 0.29  / Densidad 1.23 /  Conformidad Long 60.31  / Particulas por gramo 1145 / Proteina baja 42.32
REG-0012026,,,
REG-0012027,,,
REG-0012028,,,
REG-0012029,,,
REG-0012030,,,
REG-0012031,,,
REG-0012032,,,
REG-0012033,,,
REG-0012034,,,
REG-0012035,,,
REG-0012036,,,
REG-0012037,,,
REG-0012038,161.0,,Flotabilidad 0.17  / Densidad 1.25 /  Conformidad Long 43.61/ Particulas por gramo 1212 / Reflote 0.099
REG-0012039,,,Flotabilidad 0.58  / Densidad 1.20 /  Conformidad Long 63.47  / Particulas por gramo 1273 / Reflote 0.629
REG-0012040,,,
REG-0012041,,,
REG-0012042,,,
REG-0012043,,,
REG-0012044,,,
REG-0012045,,,
REG-0012046,,,
REG-0012047,,,
REG-0012048,,,
REG-0012049,,,
REG-0012050,,,
REG-0012051,161.0,,Flotabilidad 0.02  / Densidad 1.28 /  Conformidad Long 47.60 / Particulas por gramo 1000 / Reflote 0.02
REG-0012052,,,Flotabilidad 0.41  / Densidad 1.21 /  Conformidad Long 59.01 / Particulas por gramo 1310 / Reflote 0.611
REG-0012053,,,
REG-0012054,,,
REG-0012055,,,
REG-0012056,,,
REG-0012057,,,
REG-0012058,,,
REG-0012059,,,
REG-0012060,,,
REG-0012061,,,
REG-0012062,,,
REG-0012063,,,
REG-0012064,,,
REG-0012065,161.0,,Flotabilidad 0.10 / Densidad 1.25 /  Conformidad Long 32.80 / Particulas por gramo 1395 / Reflote 0.023
REG-0012066,,,Flotabilidad 0.52 / Densidad 1.21 /  Conformidad Long 60.81 / Particulas por gramo 1277 / Reflote 0.470
REG-0012067,,,
REG-0012068,,,
REG-0012069,,,
REG-0012070,,,
REG-0012071,,,
REG-0012072,,,
REG-0012073,161.0,,Flotabilidad 0.10 / Densidad 1.25 /  Conformidad Long 36.43 / Particulas por gramo 1188 / Reflote 0.017
REG-0012074,,,Flotabilidad 0.11 / Densidad 1.26 /  Conformidad Long 55.05  / Particulas por gramo 1333 / Reflote 0.045
REG-0012075,,,
REG-0012076,,,
REG-0012077,,,
REG-0012078,,,
REG-0012079,,,
REG-0012080,,,
REG-0012081,,,
REG-0012082,161.0,,Flotabilidad 0.09 / Densidad 1.25 /  Conformidad Long 43.26 / Particulas por gramo 1091 / Reflote 0.018
REG-0012083,,,Flotabilidad 0.31 / Densidad 1.26 /  Conformidad Long 57.41  / Particulas por gramo 1286 / Reflote 0.187
REG-0012084,,,
REG-0012085,,,
REG-0012086,,,
REG-0012087,,,
REG-0012088,,,Flotabilidad 0.10 / Densidad 1.25 /  Conformidad Long 53.09  / Particulas por gramo 1383
REG-0012089,,,
REG-0012090,161.0,,Flotabilidad 0.06 / Densidad 1.28 /  Conformidad Long 40.70  / Particulas por gramo 1200
REG-0012091,,,Flotabilidad 0.53 / Densidad 1.24 /  Conformidad Long 43.14  / Particulas por gramo 1379 / Reflote 0.348
REG-0012092,,,
REG-0012093,,,
REG-0012094,,,
REG-0012095,,,
REG-0012096,,,Flotabilidad 0.23 / Densidad 1.25 /  Conformidad Long 58.14 / Particulas por gramo 1024
REG-0012097,,,Flotabilidad 0.65/ Densidad 1.25 /  Conformidad Long 53.69 / Particulas por gramo 1019/ Reflote 0.393
REG-0012098,,,
REG-0012099,,,
REG-0012100,,,
REG-0012101,,,
REG-0012102,,,
REG-0012103,,,
REG-0012104,,,
REG-0012105,,,
REG-0012106,,,
REG-0012107,,,Flotabilidad 0.03 / Densidad 1.26 /  Conformidad Long 53.91 / Particulas por gramo 1191
REG-0012108,,,Flotabilidad 0.56 / Densidad 1.23 /  Conformidad Long 58.19 / Particulas por gramo 1180 / Reflote 0.576
REG-0012109,,,
REG-0012110,,,
REG-0012111,,,
REG-0012112,,,
REG-0012113,,,
REG-0012114,,,
REG-0012115,,,
REG-0012116,161.0,,Flotabilidad 0.24 / Densidad 1.26 /  Conformidad Long 45.95 / Particulas por gramo 1159
REG-0012117,,,Flotabilidad 0.35 / Densidad 1.25 /  Conformidad Long 60.43 / Particulas por gramo 1136 / Reflote 0.211
REG-0012118,,,
REG-0012119,,,
REG-0012120,,,
REG-0012121,,,Flotabilidad 0.09 / Densidad 1.25 /  Conformidad Long 42.19 / Particulas por gramo 1083
REG-0012122,,,
REG-0012123,,,
REG-0012124,,,Flotabilidad 0.5 / Densidad 1.26 /  Conformidad Long 52.62 / Particulas por gramo 1071/ Reflote 0.448
REG-0012125,,,
REG-0012126,,,
REG-0012127,,,
REG-0012128,,,Flotabilidad   0.14 / Densidad 1.28 /  Conformidad Long 58.92  / Particulas por gramo 1222 / Proteina alta 38.35
REG-0012129,,,Flotabilidad   1.22 / Densidad 1.22 /  Conformidad long. 27.39  / Particulas por gramo 20513 / Proteina alta 39.28
REG-0012130,,,
REG-0012131,,,
REG-0012132,,,
REG-0012133,,,Proteina alta 38.37 / Densidad 1.25 /  Conformidad Long 54.63
REG-0012134,,,
REG-0012135,,,
REG-0012136,,,
REG-0012137,,,Flotabilidad 0.28% / Densidad 1.23 /  Conformidad Long 44.81 / Particulas por gramo 1086 / Proteina alta 37.86
REG-0012138,,,
REG-0012139,,,
REG-0012140,,,Flotabilidad 0.38% / Densidad 1.24 /  Conformidad Long 52.11 / Particulas por gramo 1205
REG-0012141,,,
REG-0012142,,,
REG-0012143,,,
REG-0012144,,,Flotabilidad 0.49% / Densidad 1.23 /  Conformidad Long 48.96 / Particulas por gramo 151 / Reflote 0.626
REG-0012145,,,
